,from,to,weight,color,sample
0,IGHA2,IGHG1,0.02932981375568265,2.0,S4
1,IGHA2,IGHA1,0.2126411497286992,16.524239719140628,S4
2,IGHA2,IGHM,0.10998680158380994,2.0231264016448494,S4
3,IGHA2,IGHG3,0.007332453438920663,2.0,S4
4,IGHA2,IGHG2,0.02932981375568265,3.364865965620064,S4
5,IGHG2,IGHG1,0.2639683238011439,20.812056170814113,S4
6,IGHG2,IGHA1,0.1393166153394926,4.382160292338116,S4
7,IGHG2,IGHM,0.18331133597301658,4.042961131695834,S4
8,IGHG2,IGHG3,0.02932981375568265,2.3802104091765965,S4
9,IGHG3,IGHG1,0.2786332306789852,19.066562743986104,S4
10,IGHG3,IGHA1,0.1759788825340959,5.5536658182048075,S4
11,IGHG3,IGHM,0.21997360316761988,4.431805775167427,S4
12,IGHM,IGHG1,1.6424695703182284,24.25236424940407,S4
13,IGHM,IGHA1,1.4958205015398152,5.884223160076907,S4
14,IGHA1,IGHG1,1.679131837512832,64.2442722567117,S4
