,sample,from,from_size,to,to_size,weight,p,qValue,Sig
0,S1,IGHM,3201,IGHG3,184,85,2.3927495085797085e-07,5.583082186685986e-07,*
1,S1,IGHM,3201,IGHG1,850,363,2.101221294199659e-20,7.354274529698807e-20,*
2,S1,IGHM,3201,IGHG2,53,23,0.021086979058195544,0.022709054370364433,*
3,S1,IGHM,3201,IGHA1,1249,506,1.972031442326344e-22,9.202813397522938e-22,*
4,S1,IGHM,3201,IGHA2,36,24,2.049585026465933e-06,4.099170052931866e-06,*
5,S1,IGHG3,184,IGHG1,850,74,7.190428143206962e-36,5.033299700244873e-35,*
6,S1,IGHG3,184,IGHG2,53,4,0.010818969476727964,0.013769597515835591,*
7,S1,IGHG3,184,IGHA1,1249,54,7.683639550056465e-12,2.1514190740158104e-11,*
8,S1,IGHG3,184,IGHA2,36,4,0.002696668548479226,0.004194817742078796,*
9,S1,IGHG1,850,IGHG2,53,14,2.5969641170300147e-05,4.5446872048025254e-05,*
10,S1,IGHG1,850,IGHA1,1249,238,2.7720203127969405e-46,3.8808284379157167e-45,*
11,S1,IGHG1,850,IGHA2,36,3,0.7507215008444472,0.7507215008444472,
12,S1,IGHG2,53,IGHA1,1249,13,0.006289072783945304,0.008804701897523425,*
13,S1,IGHG2,53,IGHA2,36,2,0.012351323357323557,0.014409877250210817,*
0,S10,IGHM,7360,IGHG3,242,97,1.7734488305075776e-07,6.943137078140798e-09,*
1,S10,IGHM,7360,IGHG1,1794,621,5.360480624527238e-22,3.6726442001586644e-23,*
2,S10,IGHM,7360,IGHG2,175,78,1.0394292017339308e-08,4.74765093731416e-10,*
3,S10,IGHM,7360,IGHA1,3075,986,4.089877128191982e-22,3.6726442001586644e-23,*
4,S10,IGHM,7360,IGHA2,82,34,0.0011618518400165504,3.537882117142174e-05,*
5,S10,IGHG3,242,IGHG1,1794,46,3.5137717866020798e-12,1.9259218680800144e-13,*
6,S10,IGHG3,242,IGHG2,175,3,0.17141537485898828,0.003914746496258495,*
7,S10,IGHG3,242,IGHA1,3075,41,0.0014047163079259333,3.84967211900143e-05,*
8,S10,IGHG3,242,IGHA2,82,1,0.48883134494787256,0.009568990595273073,*
9,S10,IGHG1,1794,IGHG2,175,60,1.358354998283119e-29,1.8613086980949612e-30,*
10,S10,IGHG1,1794,IGHA1,3075,452,1.5497745725248008e-77,4.2472091545623767e-78,*
11,S10,IGHG1,1794,IGHA2,82,8,0.15895775137510826,0.003914746496258495,*
12,S10,IGHG2,175,IGHA1,3075,37,2.6274668166382743e-05,9.000826083656404e-07,*
13,S10,IGHG2,175,IGHA2,82,1,0.3841286230811286,0.00809782588534651,*
0,S11,IGHM,731,IGHG3,30,14,9.894703932272904e-06,3.4631463762955163e-05,*
1,S11,IGHM,731,IGHG1,396,133,4.609086752645809e-27,3.226360726852066e-26,*
2,S11,IGHM,731,IGHG2,37,11,0.012094852834133753,0.02116599245973407,*
3,S11,IGHM,731,IGHA1,417,119,2.457685614670595e-17,1.1469199535129444e-16,*
4,S11,IGHM,731,IGHA2,21,9,0.0008748770644742412,0.0017497541289484824,*
5,S11,IGHG3,30,IGHG1,396,9,0.0001875032971839441,0.0005250092321150434,*
6,S11,IGHG3,30,IGHG2,37,1,0.18540417646507953,0.26335742472391377,
7,S11,IGHG3,30,IGHA1,417,3,0.4974760596757961,0.6331513486782859,
8,S11,IGHG3,30,IGHA2,21,0,1.0,1.0,
9,S11,IGHG1,396,IGHG2,37,5,0.18811244623136697,0.26335742472391377,
10,S11,IGHG1,396,IGHA1,417,98,2.687125257606199e-28,3.7619753606486786e-27,*
11,S11,IGHG1,396,IGHA2,21,1,1.0,1.0,
12,S11,IGHG2,37,IGHA1,417,10,0.00032955664987706975,0.0007689655163798294,*
13,S11,IGHG2,37,IGHA2,21,0,1.0,1.0,
0,S12,IGHM,2214,IGHG3,178,42,0.6026230033505761,0.7669747315370968,
1,S12,IGHM,2214,IGHG1,948,290,0.0002056942714407981,0.0007199299500427934,*
2,S12,IGHM,2214,IGHG2,77,20,0.8962249821963468,0.9651653654422196,
3,S12,IGHM,2214,IGHA1,866,261,0.001346608408761352,0.0036887884160248584,*
4,S12,IGHM,2214,IGHA2,35,16,0.010295925592270853,0.020591851184541706,*
5,S12,IGHG3,178,IGHG1,948,45,6.2762094944397e-08,2.92889776407186e-07,*
6,S12,IGHG3,178,IGHG2,77,3,0.21024889135537903,0.32705383099725627,
7,S12,IGHG3,178,IGHA1,866,28,0.015567647898944978,0.02724338382315371,*
8,S12,IGHG3,178,IGHA2,35,0,1.0,1.0,
9,S12,IGHG1,948,IGHG2,77,33,6.202485121977231e-13,4.341739585384062e-12,*
10,S12,IGHG1,948,IGHA1,866,226,1.3652369233009723e-40,1.9113316926213614e-39,*
11,S12,IGHG1,948,IGHA2,35,4,0.7894439586261544,0.9210179517305134,
12,S12,IGHG2,77,IGHA1,866,17,0.0015809093211535106,0.0036887884160248584,*
13,S12,IGHG2,77,IGHA2,35,1,0.2687445815207305,0.3762424141290227,
0,S13,IGHM,1104,IGHG3,69,15,0.5775912334603244,0.73511611531314,
1,S13,IGHM,1104,IGHG1,534,134,1.0,1.0,
2,S13,IGHM,1104,IGHG2,40,11,0.7160322762396576,0.8353709889462673,
3,S13,IGHM,1104,IGHA1,488,116,0.4723377197853105,0.7109992292039448,
4,S13,IGHM,1104,IGHA2,22,7,0.46420270839524924,0.7109992292039448,
5,S13,IGHG3,69,IGHG1,534,17,0.004251833179017075,0.01984188816874635,*
6,S13,IGHG3,69,IGHG2,40,1,0.4710403223449936,0.7109992292039448,
7,S13,IGHG3,69,IGHA1,488,3,0.08065680702740621,0.28229882459592176,
8,S13,IGHG3,69,IGHA2,22,0,1.0,1.0,
9,S13,IGHG1,534,IGHG2,40,13,0.0005867344341332942,0.00410714103893306,*
10,S13,IGHG1,534,IGHA1,488,122,5.976845084857267e-17,8.367583118800175e-16,*
11,S13,IGHG1,534,IGHA2,22,1,0.507856592288532,0.7109992292039448,
12,S13,IGHG2,40,IGHA1,488,7,0.2025562599676377,0.47263127325782134,
13,S13,IGHG2,40,IGHA2,22,1,0.18286626404633946,0.47263127325782134,
0,S14,IGHM,1640,IGHG3,66,30,4.86221924238141e-05,0.00013614213878667948,*
1,S14,IGHM,1640,IGHG1,732,245,6.66434125238085e-12,3.1100259177777304e-11,*
2,S14,IGHM,1640,IGHG2,70,13,0.4749286503795751,0.5159205863800745,
3,S14,IGHM,1640,IGHA1,599,169,0.0016287890130691806,0.003586860648652647,*
4,S14,IGHM,1640,IGHA2,34,16,0.0017934303243263235,0.003586860648652647,*
5,S14,IGHG3,66,IGHG1,732,22,2.8135722651435247e-07,9.847502928002337e-07,*
6,S14,IGHG3,66,IGHG2,70,1,0.4790691159243549,0.5159205863800745,
7,S14,IGHG3,66,IGHA1,599,9,0.1191103285992347,0.15159496367175326,
8,S14,IGHG3,66,IGHA2,34,0,1.0,1.0,
